,seed_42,mean
Ink + img_dx (trained),4.053166665404921,4.053166665404921
Ink + img_dy (trained),3.8636180606919583,3.8636180606919583
Ink + img_sin_theta (trained),3.9363640304562346,3.9363640304562346
Ink + img_cos_theta (trained),3.7068465443374397,3.7068465443374397
Ink + img_curvature (trained),3.8800219820790183,3.8800219820790183
Ink + img_speed (trained),3.803123056903588,3.803123056903588
Ink + img_acceleration (trained),4.028910838754015,4.028910838754015
Ink + img_time_norm (trained),4.086789699213876,4.086789699213876
Ink + img_pressure (trained),3.8948700371936504,3.8948700371936504
Ink + img_x_tilt (trained),4.086236172707395,4.086236172707395
Ink + img_y_tilt (trained),4.123555592504806,4.123555592504806
